surah_no,ayah_no_surah,surah_name_ar,ayah_ar,label,ayah_en
89,26,سورة الفجر,وَلَا يُوثِقُ وَثَاقَهُۥٓ أَحَدٞ,fear,and bind them tightly like no other
89,2,سورة الفجر,وَلَيَالٍ عَشۡرٖ,joy,and the ten nights
89,30,سورة الفجر,وَٱدۡخُلِي جَنَّتِي,joy,and enter my paradise
89,5,سورة الفجر,هَلۡ فِي ذَٰلِكَ قَسَمٞ لِّذِي حِجۡرٍ,sadness,is all this not a sufficient oath for those who have sense
89,16,سورة الفجر,وَأَمَّآ إِذَا مَا ٱبۡتَلَىٰهُ فَقَدَرَ عَلَيۡهِ رِزۡقَهُۥ فَيَقُولُ رَبِّيٓ أَهَٰنَنِ,sadness,but when he tests them by limiting their provision they protest my lord has undeservedly humiliated me
89,24,سورة الفجر,يَقُولُ يَٰلَيۡتَنِي قَدَّمۡتُ لِحَيَاتِي,sadness,they will cry i wish i had sent forth something good for my true life
89,27,سورة الفجر,يَٰٓأَيَّتُهَا ٱلنَّفۡسُ ٱلۡمُطۡمَئِنَّةُ,sadness,allah will say to the righteous o tranquil soul
88,4,سورة الغاشية,تَصۡلَىٰ نَارًا حَامِيَةٗ,anger,burning in a scorching fire
88,26,سورة الغاشية,ثُمَّ إِنَّ عَلَيۡنَا حِسَابَهُم,anger,then surely with us is their reckoning
88,1,سورة الغاشية,هَلۡ أَتَىٰكَ حَدِيثُ ٱلۡغَٰشِيَةِ,fear,has the news of the overwhelming event reached you o prophet
88,6,سورة الغاشية,لَّيۡسَ لَهُمۡ طَعَامٌ إِلَّا مِن ضَرِيعٖ,fear,they will have no food except a foul thorny shrub
88,7,سورة الغاشية,لَّا يُسۡمِنُ وَلَا يُغۡنِي مِن جُوعٖ,fear,neither nourishing nor satisfying hunger
88,17,سورة الغاشية,أَفَلَا يَنظُرُونَ إِلَى ٱلۡإِبِلِ كَيۡفَ خُلِقَتۡ,fear,do they not ever reflect on camelshow they were masterfully created
88,25,سورة الغاشية,إِنَّ إِلَيۡنَآ إِيَابَهُمۡ,fear,surely to us is their return
88,2,سورة الغاشية,وُجُوهٞ يَوۡمَئِذٍ خَٰشِعَةٌ,joy,on that day some faces will be downcast
88,5,سورة الغاشية,تُسۡقَىٰ مِنۡ عَيۡنٍ ءَانِيَةٖ,joy,left to drink from a scalding spring
88,8,سورة الغاشية,وُجُوهٞ يَوۡمَئِذٖ نَّاعِمَةٞ,joy,on that day other faces will be glowing with bliss
88,9,سورة الغاشية,لِّسَعۡيِهَا رَاضِيَةٞ,joy,fully pleased with their striving
88,13,سورة الغاشية,فِيهَا سُرُرٞ مَّرۡفُوعَةٞ,joy,along with thrones raised high
88,14,سورة الغاشية,وَأَكۡوَابٞ مَّوۡضُوعَةٞ,joy,and cups set at hand
88,22,سورة الغاشية,لَّسۡتَ عَلَيۡهِم بِمُصَيۡطِرٍ,sadness,you are not there to compel them to believe
88,24,سورة الغاشية,فَيُعَذِّبُهُ ٱللَّهُ ٱلۡعَذَابَ ٱلۡأَكۡبَرَ,sadness,then allah will inflict upon them the major punishment
87,10,سورة الاعلىٰ,سَيَذَّكَّرُ مَن يَخۡشَىٰ,fear,those in awe of allah will be mindful of it
87,12,سورة الاعلىٰ,ٱلَّذِي يَصۡلَى ٱلنَّارَ ٱلۡكُبۡرَىٰ,fear,who will burn in the greatest fire
87,9,سورة الاعلىٰ,فَذَكِّرۡ إِن نَّفَعَتِ ٱلذِّكۡرَىٰ,joy,so always remind with the quraneven if the reminder is beneficial only to some
87,14,سورة الاعلىٰ,قَدۡ أَفۡلَحَ مَن تَزَكَّىٰ,joy,successful indeed are those who purify themselves
87,5,سورة الاعلىٰ,فَجَعَلَهُۥ غُثَآءً أَحۡوَىٰ,sadness,then reduces it to withered chaff
86,17,سورة الطارق,فَمَهِّلِ ٱلۡكَٰفِرِينَ أَمۡهِلۡهُمۡ رُوَيۡدَۢا,anger,so bear with the disbelievers o prophet let them be for just a little while
86,4,سورة الطارق,إِن كُلُّ نَفۡسٖ لَّمَّا عَلَيۡهَا حَافِظٞ,fear,there is no soul without a vigilant angel recording everything
86,5,سورة الطارق,فَلۡيَنظُرِ ٱلۡإِنسَٰنُ مِمَّ خُلِقَ,fear,let people then consider what they were created from
86,6,سورة الطارق,خُلِقَ مِن مَّآءٖ دَافِقٖ,fear,they were created from a spurting fluid
86,7,سورة الطارق,يَخۡرُجُ مِنۢ بَيۡنِ ٱلصُّلۡبِ وَٱلتَّرَآئِبِ,fear,stemming from between the backbone and the ribcage
86,8,سورة الطارق,إِنَّهُۥ عَلَىٰ رَجۡعِهِۦ لَقَادِرٞ,fear,surely he is fully capable of bringing them back to life
86,9,سورة الطارق,يَوۡمَ تُبۡلَى ٱلسَّرَآئِرُ,fear,on the day all secrets will be disclosed
85,10,سورة البروج,إِنَّ ٱلَّذِينَ فَتَنُواْ ٱلۡمُؤۡمِنِينَ وَٱلۡمُؤۡمِنَٰتِ ثُمَّ لَمۡ يَتُوبُواْ فَلَهُمۡ عَذَابُ جَهَنَّمَ وَلَهُمۡ عَذَابُ ٱلۡحَرِيقِ,anger,those who persecute the believing men and women and then do not repent will certainly suffer the punishment of hell and the torment of burning
85,12,سورة البروج,إِنَّ بَطۡشَ رَبِّكَ لَشَدِيدٌ,anger,indeed the crushing grip of your lord is severe
85,19,سورة البروج,بَلِ ٱلَّذِينَ كَفَرُواْ فِي تَكۡذِيبٖ,anger,yet the disbelievers still persist in denial
85,2,سورة البروج,وَٱلۡيَوۡمِ ٱلۡمَوۡعُودِ,fear,and the promised day of judgment
85,5,سورة البروج,ٱلنَّارِ ذَاتِ ٱلۡوَقُودِ,fear,the fire pit filled with fuel
85,13,سورة البروج,إِنَّهُۥ هُوَ يُبۡدِئُ وَيُعِيدُ,fear,for he is certainly the one who originates and resurrects all
85,20,سورة البروج,وَٱللَّهُ مِن وَرَآئِهِم مُّحِيطُۢ,fear,but allah encompasses them from all sides
85,11,سورة البروج,إِنَّ ٱلَّذِينَ ءَامَنُواْ وَعَمِلُواْ ٱلصَّٰلِحَٰتِ لَهُمۡ جَنَّٰتٞ تَجۡرِي مِن تَحۡتِهَا ٱلۡأَنۡهَٰرُۚ ذَٰلِكَ ٱلۡفَوۡزُ ٱلۡكَبِيرُ,joy,surely those who believe and do good will have gardens under which rivers flow that is the greatest triumph
85,14,سورة البروج,وَهُوَ ٱلۡغَفُورُ ٱلۡوَدُودُ,joy,and he is the allforgiving allloving
85,15,سورة البروج,ذُو ٱلۡعَرۡشِ ٱلۡمَجِيدُ,joy,lord of the throne the allglorious
85,6,سورة البروج,إِذۡ هُمۡ عَلَيۡهَا قُعُودٞ,sadness,when they sat around it
84,22,سورة الانشقاق,بَلِ ٱلَّذِينَ كَفَرُواْ يُكَذِّبُونَ,anger,in fact the disbelievers persist in denial
84,24,سورة الانشقاق,فَبَشِّرۡهُم بِعَذَابٍ أَلِيمٍ,anger,so give them good news of a painful punishment
84,2,سورة الانشقاق,وَأَذِنَتۡ لِرَبِّهَا وَحُقَّتۡ,fear,obeying its lord as it must
84,3,سورة الانشقاق,وَإِذَا ٱلۡأَرۡضُ مُدَّتۡ,fear,and when the earth is flattened out
84,4,سورة الانشقاق,وَأَلۡقَتۡ مَا فِيهَا وَتَخَلَّتۡ,fear,and ejects all its contents and becomes empty
84,6,سورة الانشقاق,يَٰٓأَيُّهَا ٱلۡإِنسَٰنُ إِنَّكَ كَادِحٌ إِلَىٰ رَبِّكَ كَدۡحٗا فَمُلَٰقِيهِ,fear,o humanity indeed you are labouring restlessly towards your lord and will eventually meet the consequences
84,11,سورة الانشقاق,فَسَوۡفَ يَدۡعُواْ ثُبُورٗا,fear,they will cry for instant destruction
84,12,سورة الانشقاق,وَيَصۡلَىٰ سَعِيرًا,fear,and will burn in the blazing fire
84,15,سورة الانشقاق,بَلَىٰٓۚ إِنَّ رَبَّهُۥ كَانَ بِهِۦ بَصِيرٗا,fear,yes they would surely their lord has always been allseeing of them
84,19,سورة الانشقاق,لَتَرۡكَبُنَّ طَبَقًا عَن طَبَقٖ,fear,you will certainly pass from one state to another
84,23,سورة الانشقاق,وَٱللَّهُ أَعۡلَمُ بِمَا يُوعُونَ,fear,but allah knows best whatever they hide
84,8,سورة الانشقاق,فَسَوۡفَ يُحَاسَبُ حِسَابٗا يَسِيرٗا,joy,they will have an easy reckoning
84,9,سورة الانشقاق,وَيَنقَلِبُ إِلَىٰٓ أَهۡلِهِۦ مَسۡرُورٗا,joy,and will return to their people joyfully
84,18,سورة الانشقاق,وَٱلۡقَمَرِ إِذَا ٱتَّسَقَ,joy,and by the moon when it waxes full
84,25,سورة الانشقاق,إِلَّا ٱلَّذِينَ ءَامَنُواْ وَعَمِلُواْ ٱلصَّٰلِحَٰتِ لَهُمۡ أَجۡرٌ غَيۡرُ مَمۡنُونِۭ,joy,but those who believe and do good will have a neverending reward
84,10,سورة الانشقاق,وَأَمَّا مَنۡ أُوتِيَ كِتَٰبَهُۥ وَرَآءَ ظَهۡرِهِۦ,sadness,and as for those who are given their record in their left hand from behind their backs
84,13,سورة الانشقاق,إِنَّهُۥ كَانَ فِيٓ أَهۡلِهِۦ مَسۡرُورًا,sadness,for they used to be prideful among their people
83,1,سورة المطففين,وَيۡلٞ لِّلۡمُطَفِّفِينَ,anger,woe to the defrauders
83,3,سورة المطففين,وَإِذَا كَالُوهُمۡ أَو وَّزَنُوهُمۡ يُخۡسِرُونَ,anger,but give less when they measure or weigh for buyers
83,12,سورة المطففين,وَمَا يُكَذِّبُ بِهِۦٓ إِلَّا كُلُّ مُعۡتَدٍ أَثِيمٍ,anger,none would deny it except every evildoing transgressor
83,13,سورة المطففين,إِذَا تُتۡلَىٰ عَلَيۡهِ ءَايَٰتُنَا قَالَ أَسَٰطِيرُ ٱلۡأَوَّلِينَ,anger,whenever our revelations are recited to them they say ancient fables
83,14,سورة المطففين,كَلَّاۖ بَلۡۜ رَانَ عَلَىٰ قُلُوبِهِم مَّا كَانُواْ يَكۡسِبُونَ,anger,but no in fact their hearts have been stained by all the evil they used to commit
83,16,سورة المطففين,ثُمَّ إِنَّهُمۡ لَصَالُواْ ٱلۡجَحِيمِ,anger,moreover they will surely burn in hell
83,4,سورة المطففين,أَلَا يَظُنُّ أُوْلَٰٓئِكَ أَنَّهُم مَّبۡعُوثُونَ,fear,do such people not think that they will be resurrected
83,5,سورة المطففين,لِيَوۡمٍ عَظِيمٖ,fear,for a tremendous day
83,6,سورة المطففين,يَوۡمَ يَقُومُ ٱلنَّاسُ لِرَبِّ ٱلۡعَٰلَمِينَ,fear,the day all people will stand before the lord of all worlds
83,8,سورة المطففين,وَمَآ أَدۡرَىٰكَ مَا سِجِّينٞ,fear,and what will make you realize what sijjin is
83,15,سورة المطففين,كَلَّآ إِنَّهُمۡ عَن رَّبِّهِمۡ يَوۡمَئِذٖ لَّمَحۡجُوبُونَ,fear,undoubtedly they will be sealed off from their lord on that day
83,17,سورة المطففين,ثُمَّ يُقَالُ هَٰذَا ٱلَّذِي كُنتُم بِهِۦ تُكَذِّبُونَ,fear,and then be told this is what you used to deny
83,29,سورة المطففين,إِنَّ ٱلَّذِينَ أَجۡرَمُواْ كَانُواْ مِنَ ٱلَّذِينَ ءَامَنُواْ يَضۡحَكُونَ,fear,indeed the wicked used to laugh at the believers
83,32,سورة المطففين,وَإِذَا رَأَوۡهُمۡ قَالُوٓاْ إِنَّ هَٰٓؤُلَآءِ لَضَآلُّونَ,fear,and when they saw the faithful they would say these people are truly astray
83,33,سورة المطففين,وَمَآ أُرۡسِلُواْ عَلَيۡهِمۡ حَٰفِظِينَ,fear,even though they were not sent as keepers over the believers
83,36,سورة المطففين,هَلۡ ثُوِّبَ ٱلۡكُفَّارُ مَا كَانُواْ يَفۡعَلُونَ,fear,the believers will be asked have the disbelievers not been paid back for what they used to do
83,18,سورة المطففين,كَلَّآ إِنَّ كِتَٰبَ ٱلۡأَبۡرَارِ لَفِي عِلِّيِّينَ,joy,but no the virtuous are certainly bound for illiyn in elevated gardens
83,21,سورة المطففين,يَشۡهَدُهُ ٱلۡمُقَرَّبُونَ,joy,witnessed by those nearest to allah
83,23,سورة المطففين,عَلَى ٱلۡأَرَآئِكِ يَنظُرُونَ,joy,seated on canopied couches gazing around
83,24,سورة المطففين,تَعۡرِفُ فِي وُجُوهِهِمۡ نَضۡرَةَ ٱلنَّعِيمِ,joy,you will recognize on their faces the glow of delight
82,9,سورة الانفطار,كَلَّا بَلۡ تُكَذِّبُونَ بِٱلدِّينِ,anger,but no in fact you deny the final judgment
82,14,سورة الانفطار,وَإِنَّ ٱلۡفُجَّارَ لَفِي جَحِيمٖ,anger,and the wicked will be in hell
82,19,سورة الانفطار,يَوۡمَ لَا تَمۡلِكُ نَفۡسٞ لِّنَفۡسٖ شَيۡـٔٗاۖ وَٱلۡأَمۡرُ يَوۡمَئِذٖ لِّلَّهِ,anger,it is the day no soul will be of any benefit to another whatsoever for all authority on that day belongs to allah entirely
82,2,سورة الانفطار,وَإِذَا ٱلۡكَوَاكِبُ ٱنتَثَرَتۡ,fear,and when the stars fall away
82,3,سورة الانفطار,وَإِذَا ٱلۡبِحَارُ فُجِّرَتۡ,fear,and when the seas burst forth
82,5,سورة الانفطار,عَلِمَتۡ نَفۡسٞ مَّا قَدَّمَتۡ وَأَخَّرَتۡ,fear,then each soul will know what it has sent forth or left behind
82,10,سورة الانفطار,وَإِنَّ عَلَيۡكُمۡ لَحَٰفِظِينَ,fear,while you are certainly observed by vigilant
82,16,سورة الانفطار,وَمَا هُمۡ عَنۡهَا بِغَآئِبِينَ,fear,and they will have no escape from it
82,11,سورة الانفطار,كِرَامٗا كَٰتِبِينَ,joy,honourable angels recording everything
82,13,سورة الانفطار,إِنَّ ٱلۡأَبۡرَارَ لَفِي نَعِيمٖ,joy,indeed the virtuous will be in bliss
82,12,سورة الانفطار,يَعۡلَمُونَ مَا تَفۡعَلُونَ,sadness,they know whatever you do
81,10,سورة التكوير,وَإِذَا ٱلصُّحُفُ نُشِرَتۡ,fear,and when the records of deeds are laid open
81,12,سورة التكوير,وَإِذَا ٱلۡجَحِيمُ سُعِّرَتۡ,fear,and when the hellfire is fiercely flared up
81,18,سورة التكوير,وَٱلصُّبۡحِ إِذَا تَنَفَّسَ,fear,and the day as it breaks
81,17,سورة التكوير,وَٱلَّيۡلِ إِذَا عَسۡعَسَ,joy,and the night as it falls
81,20,سورة التكوير,ذِي قُوَّةٍ عِندَ ذِي ٱلۡعَرۡشِ مَكِينٖ,joy,full of power held in honour by the lord of the throne
81,28,سورة التكوير,لِمَن شَآءَ مِنكُمۡ أَن يَسۡتَقِيمَ,joy,to whoever of you wills to take the straight way
81,29,سورة التكوير,وَمَا تَشَآءُونَ إِلَّآ أَن يَشَآءَ ٱللَّهُ رَبُّ ٱلۡعَٰلَمِينَ,joy,but you cannot will to do so except by the will of allah the lord of all worlds
81,9,سورة التكوير,بِأَيِّ ذَنۢبٖ قُتِلَتۡ,sadness,for what crime they were put to death
81,14,سورة التكوير,عَلِمَتۡ نَفۡسٞ مَّآ أَحۡضَرَتۡ,sadness,on that day each soul will know what deeds it has brought along
81,24,سورة التكوير,وَمَا هُوَ عَلَى ٱلۡغَيۡبِ بِضَنِينٖ,sadness,and he does not withhold what is revealed to him of the unseen
